NAME                    VERSION                TYPE   
python3.11              3.11.2-6+deb12u3       deb     
python3.11-minimal      3.11.2-6+deb12u3       deb     
python3.11-venv         3.11.2-6+deb12u3       deb     
rapidfuzz               3.9.7                  python  
readline-common         8.2-1.3                deb     
requests                2.32.3                 python  
requests-toolbelt       1.0.0                  python  
sed                     4.9-1                  deb     
setuptools              74.1.2                 python  
shellingham             1.5.4                  python  
sysvinit-utils          3.06-4                 deb     
tar                     1.34+dfsg-1.2+deb12u1  deb     
tomli                   2.0.1                  python  
tomlkit                 0.13.2                 python  
trove-classifiers       2024.7.2               python  
typeguard               4.3.0                  python  
typing_extensions       4.12.2                 python  
tzdata                  2024a-0+deb12u1        deb     
urllib3                 2.2.2                  python  
userpath                1.8.0                  python  
usr-is-merged           37~deb12u1             deb     
util-linux              2.38.1-5+deb12u1       deb     
util-linux-extra        2.38.1-5+deb12u1       deb     
virtualenv              20.26.4                python  
wheel                   0.43.0                 python  
wheel                   0.44.0                 python  
zipp                    3.19.2                 python  
zipp                    3.20.1                 python  
zlib1g                  1:1.2.13.dfsg-1        deb     
